File_name,DER_MFCC,Precision_MFCC,Recall_MFCC,F1_MFCC,AUROC_MFCC,DER_segmentation,Precision_segmentation,Recall_segmentation,F1_segmentation,AUROC_segmentation,DER_scd,Precision_scd,Recall_scd,F1_scd,AUROC_scd,DER,AUROC
IN1009.Mix-Headset,0.175181125766301,0.233207027213228,0.079858422740847,0.135688780304454,0.528648120993361,0.922969130314045,0.074576271186441,0.00423402617398,0.008013112365689,0.500845115956912,0.838092886730859,0.268875192604006,0.067167051578137,0.107483831228827,0.512892818075294,0.082542743356755,0.499995417561266
IS1007a.Mix-Headset,0.17665191667081,0.180341524364848,0.08819888590881,0.131589072720277,0.512172329708438,0.900549623591819,0.155228758169935,0.06700758243696,0.093607587141274,0.523826220906346,0.869945413111453,0.257318952234206,0.058896138247223,0.095853063567226,0.507985783969101,0.180871828236823,0.49999466168903
TS3006a.Mix-Headset,0.178365461939664,0.351471404775125,0.106475236076315,0.166428194894194,0.529368605226505,0.936188103152932,0.260738507912585,0.110773171122139,0.155488147399169,0.54615529515653,1.01259441803661,0.294298921417565,0.061149351688811,0.101259111994698,0.509644230729699,0.156836119650444,0.499995086853563
IN1007.Mix-Headset,0.179514325415205,0.450968144909432,0.085770491803279,0.130473815461347,0.521262954879967,0.875584740856758,0.08,0.003134796238245,0.006033182503771,0.500822372667942,0.791553780956814,0.131741140215716,0.038289296909987,0.059333795975017,0.495331099877045,0.086174476385545,0.499996220674799
ES2014c.Mix-Headset,0.180281524235821,0.36035535813437,0.09114296214627,0.109710241097102,0.528433293392312,0.825445683822985,0.039021164021164,0.036263060848187,0.037591589678242,0.511579933782407,1.00087324945826,0.050847457627119,0.040565457897972,0.045128205128205,0.497039200158706,0.14813409181903,0.499998677244303
TS3005a.Mix-Headset,0.18504020562643,0.261711430356027,0.05673240808376,0.076293385723641,0.508226318410913,0.579741959498036,0.032352941176471,0.021877486077963,0.026103464641671,0.50346160625965,0.394832200399582,0.13482280431433,0.069610182975338,0.091815320041973,0.512884341926865,0.041062009879161,0.499998204827144
IS1004a.Mix-Headset,0.187272727272727,0.157894736842105,0.095457537853851,0.121508379888268,0.522776532663316,0.718984445927801,0.126295336787565,0.072168763878609,0.09185115402732,0.529942177848751,0.761138459116148,0.075500770416025,0.036269430051814,0.049,0.49453775116859,0.052387162441552,0.4999974962077
ES2008b.Mix-Headset,0.191814928160174,0.384725196288365,0,0,0.485019935009564,0.951143445785988,0.02676399026764,0.00802626778548,0.012349143979792,0.500369316994539,1.22663802363051,0.104776579352851,0.04961692812842,0.067343401832137,0.501923636586662,0.063274274769069,0.499997779654416
TS3012a.Mix-Headset,0.193967429186997,Precision,0.055263512602777,0.087039592399958,0.508016665495346,0.721652438547199,0.093978102189781,0.046754425783023,0.062443164595332,0.514192123630574,0.732376269427491,0.163328197226502,0.048116205174762,0.074333800841515,0.501168923309886,0.067520343513704,0.499995889985785
IS1004c.Mix-Headset,0.198054235901166,0.139883430474605,0.022775705913692,0.034503631961259,0.483814505135054,0.965370622659256,0.030408340573415,0.007900677200903,0.012542555097653,0.498787782857802,0.837180936514547,0.077041602465331,0.022573363431151,0.034916201117319,0.486011353642661,0.065342755609563,0.499996551367057
ES2010a.Mix-Headset,0.20501149218081,0.34,0.012590884908672,0.022401009622969,0.498871160685728,0.51815905940598,0.047790802524797,0.015877771120431,0.023836294130875,0.503102746411303,0.584574072104647,0.137904468412943,0.053624925104853,0.077221742881795,0.50424378843682,0.083533209650238,0.499997212752931
ES2014a.Mix-Headset,0.20686175580222,0.148566920851959,0.09184068058778,0.116207951070336,0.516406937846893,0.888723282312477,0.056435241575315,0.044169049888783,0.049554367201426,0.511459942110133,0.955385925430326,0.063944530046225,0.026374324753734,0.037345331833521,0.48886965377067,0.122985024799694,0.499997307238427
ES2016d.Mix-Headset,0.211900826446281,0.204954055133839,0.045108259823577,0.066293459045374,0.504245285868266,0.668335581422142,0.052767052767053,0.013616738625042,0.021647307286167,0.503447792169924,0.701665227581103,0.067026194144838,0.028894055131186,0.040380598746809,0.490340808917611,0.057077731931319,0.499997874136805
IS1001c.Mix-Headset,0.221023414066347,0.243427970557308,0.079968224546538,0.121358247940526,0.517769856580634,0.763659834633402,0.060876623376623,0.016603940668585,0.0260914941729,0.502945439255301,0.777711722423391,0.142526964560863,0.040956386982511,0.063628546861565,0.496909669012177,0.059808351249663,0.499996882056414
TS3009c.Mix-Headset,0.224059730653827,0.12536443148688,0.03013653013653,0.052410597944115,0.506495611832088,1.01658946272727,0.130890052356021,0.027909572983533,0.046008741660916,0.510907041547627,1.09739045107479,0.033127889060093,0.012001116382919,0.017619340299119,0.480436311471016,0.071797745043835,0.499996740336634
IS1007c.Mix-Headset,0.229781771501925,0.068201563857515,0.13155267099351,0.178432368376502,0.550160569710511,0.746909018008513,0.093847758081335,0.037862852334876,0.053956834532374,0.514986411231766,0.751070140741528,0.050847457627119,0.027766091712242,0.035918367346939,0.489962573659787,0.04754227547106,0.499997448966576
TS3007d.Mix-Headset,0.239845047039292,0.20375,0.093408991706678,0.129992406985573,0.528566857086008,1.06119134531475,0.096026490066225,0.020472996823156,0.033750363689264,0.507747507410238,1.04857165943115,0.077041602465331,0.035298270384751,0.048414427499395,0.493969502048796,0.081315252168055,0.49999697654898
EN2009d.Mix-Headset,0.244248318409665,0.213679480778832,0.063550420168067,0.092898272552783,0.511201997825237,0.73532480653839,0.415254237288136,0.014830508474576,0.028638223261251,0.507099354885569,0.468613781577514,0.050847457627119,0.01997578692494,0.028683181225554,0.485174197591372,0.060094630776463,0.499997543446511
ES2007d.Mix-Headset,0.245118168712594,0.17,0.043162481842706,0.077481840193705,0.512666168714482,0.934884103592839,0.192526915769474,0.053596614950635,0.083850503378844,0.520831664519232,0.78552121921385,0.133281972265023,0.030500705218618,0.049641319942611,0.490202483348054,0.094017545625334,0.49999461444327
IS1001d.Mix-Headset,0.250593494022285,0.2875,0.028305266929416,0.04658934539021,0.494418613730688,0.716998110110415,0.170028818443804,0.060749588138386,0.08951600667577,0.523687073467298,0.78166136287102,0.155624036979969,0.041598023064251,0.06564835879103,0.497252412468833,0.104636256156255,0.499995086866097
TS3011c.Mix-Headset,0.252902574457345,0.059019514516897,0.065964734238234,0.107404729939068,0.517029030628353,1.04781520003942,0.170807453416149,0.059834638816362,0.088623912342894,0.52373218226956,0.90434948389292,0.129429892141757,0.036553524804178,0.057007125890736,0.494267923749983,0.0656679082676,0.49999555929079
ES2006d.Mix-Headset,0.259931991467252,0.12627824019025,0.043927963008031,0.072789595725376,0.505122193760815,0.809137518976091,0.253094910591472,0.037074350191417,0.064674868189807,0.516012838257126,0.80562685706423,0.154853620955316,0.04049969776345,0.06420699568759,0.496572908538118,0.139498813760379,0.499995795492371
IN1016.Mix-Headset,0.260611592879964,0,0.015770609318997,0.028942608123664,0.503017317860818,0.757403768079397,0.019455252918288,0.002991325157045,0.005185377236194,0.499187399546454,0.772818893341203,0.075500770416025,0.029314986539037,0.042232277526395,0.490450279519821,0.057628960104789,0.499996882065841
EN2004a.Mix-Headset,0.263696128560993,0.034332898739678,0.022013170272813,0.03155765340526,0.487778284796709,1.04379541406316,0,0,0,0.498650367374576,0.955073652068195,0.077041602465331,0.03098853424233,0.044198895027624,0.49143997429328,0.048680125868792,0.499997921377227
